"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"Gen. 1. 31";"Gen 1,31";"Gott sahe an alles was er gemacht hatte";;;
"Eph. 5. 16";"Eph 5,16";"Schicket euch in die Zeit / denn es ist böse Zeit";;;
"Syr. 41. 3. 4";"Sir 41,1-2";"O Todt / wie wol thnst du dem Dürfftigen";;;
"1. Reg. 19. 4";"1 Kön 19,4";"So nimb nun HErz meine Seele";;;
"Luc. 2. 29";"Lk 2,29";"HERR nun lässestu deinen Diener im Friede fahren";;;
"Phil. 1. 23";"Phil 1,23";"Jch habe Lust abzuscheiden";;;
"Rom. 6. 23";"Röm 6,23";"der Todt ist der Sünden Sold";;;
"Sap 2. 24";"sh. Weish 2,24";"durchs Teuffels Neid ist der Todt in die Welt gekommen";;;
"Es. 38. 14";"Jes 38,14";"H Er / rieffer in seiner Todes-Angst / ich leide Noht";;;
"Eph. 6. 13";"Eph 6,13";"Zeit der Anfechtung ein böses Stündelein";;;
"Eccl 12. 3. 6";"Pred 12,3-6";"ehe die Hüter im Hause zittern";;;
"Gen. 11. 28";"Gen 11,28";"Haran aber starb vor seinem Vater Tharah";;;
"Ps. 73. 2";"Ps 73,2";"ich haͤtte schier gestrauchelt";;;
"Eccles 8. 14";"Pred 8,14";"Gerechten / denen gehet es / als hätten sie Werck der Gottlosen";;;
"11. Psalm";"Ps 11,6";"regnen lasst Blitz / Fewer / und Schweffel";"Blitz, Feuer, Schwefel";"⚠️ Randglosse sagt Vers 7 statt 6"
"5. Psalm";"Ps 5,5";"Gott ist nicht ein Gott / dem gottloses Wesen gefaͤllt";;;
"Gen. 19. 24";"Gen 19,24";"Sodom und Gomorrha ... Fewer / und Schweffel";"Feuer, Schwefel";
"Num 26. 10";"Num 26,10";"gottlose Rotte Korah / Dathan und Abiram";;;
"1 Sam. 4. 18";"1 Sam 4,18";"Eli ... fiel zurück vom Stuel ... und starb";;;
"Hiob 1. 16";"Hiob 1,16";"Das Fewer Gottes fiel vom Himmel";"Blitz, Feuer";
"Esaia im 45. Cap";"Jes 45,15";"Gott auch dannenhero ein verborgen Gott genennet";;;
"Matth. 10. 30";"Mt 10,30";"Es sind gezählt all Härlein mein";;;
"Joh. 9. 2, 3";"Joh 9,2-3";"Meister / wer hat gesündiget ... daß er ist blind gebohren";;;
"Jerem. 30. 11";"Jer 30,11";"Züchtigen wil ich dich mit masse";;;
"Joh. 8. 51";"Joh 8,51";"Wer mein Wort hält ... Der wird nicht kommen ins Gericht";;;
"Luc. 23. 31";"Lk 23,31";"Thut man das am grünen Holtz";;;
"Luc. 13, 2, 3";"Lk 13,2-5";"Galileer ... auff welche der Thurm zu Siloha gefallen war";;;
"Syr. 38. 23";"Sir 38,22";"Gestern wars an mir heute ists an dir";;;
"Eccles. 8. 6";"Pred 8,6";"Des Ungluͤcks des Menschen ist viel bey ihm";;;
"Job";"Hiob 1,19";"Durch ein windsturin / der das huß ... ynwarff";"Windsturm";"⚠️ Textzitat bezieht sich auf Hiob 1"
"Gen. 35. 18";"Gen 35,18";"Starb nicht die gottesfürchtige Rahel auff der Reise";;;
"2. Sam. 24. 15";"2 Sam 24,15";"Seuche der Pestilentz fielen in Israel";;;
"1. Tim. 2";"1 Tim 2,15";"Weib / wird selig werden durch Kinder zeugen";;;
"2. Sam. 18. 33";"2 Sam 18,33";"David über seinen Sohn Absalon";;;
"Psalm. 91. 10";"Ps 91,10";"keine Plage wird zu ewrer Hütten sich nahen";;;
"Rom. 8. 28";"Röm 8,28";"denen die Gott lieben / alle Ding zum besten dienen";;;
"Luc. 2. 22";"Lk 2,22";"hochheiligen Feste der Reinigung Maria";;;"⚠️ Bezieht sich auf den liturgischen Anlass"
