"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"2. Buch Mose am 9.";"Ex 9,23-28";"auffhöre solch Donnern und Hageln Gottes";"Donner, Hagel";""
"Veremia am 10. vnd 51.";"Jer 10,13; Jer 51,16";"Er macht die Blitzen im Regen";"Blitz, Regen, Wind";""
"Amos am 9.";"Am 9,6";"Er ruffet dem Wasser im Meer";"Flut";""
"147. Psalm";"Ps 147,17";"Er wirfft seine Schlossen wie bissen";"Hagel (Schlossen)";""
"Hiob am 36.";"Job 36,27-28";"Er macht das Wasser zu kleinen Tropffen";"Regen";""
"19. und 148. Psalmen";"Ps 19,2; Ps 148,8";"Fewer / Hagel / Schnee / Dampff / Sturmwind";"Hagel, Schnee, Sturmwind, Feuer";""
"Cant. 1.";"Hld 2,14";"verbergen sich in den Felßlöcher / und steinritzen wie Tauben";"Sturmwind";""
"104. Psalm";"Ps 104,7";"Von deinem Donner fahren sie dahin";"Donner";""
"1. B. Samuel am 7.";"1 Sam 7,10";"HErr lies einen grossen Donner donnern";"Donner";""
"105. Psalm";"Ps 105,32";"Er gab ihnen Hagel zum Regen";"Hagel, Regen, Feuer";""
"B. der Weißheit am 5.";"Weish 5,23";"Es wird dicker Hagel fallen aus dem Zorn";"Hagel";""
"18. und 77. Psalmens";"Ps 18,12; Ps 77,18";"Wassergoͤsse / die dicken Wolcken gossen Wasser";"Regen, Wolkenbruch";""
"Nahum im 1. Capitel";"Nah 1,3";"der HERR des Wege im Wetter vnd Sturm sind";"Wetter, Sturm";""
"1. B. Samuel am 12.";"1 Sam 12,17-18";"da lies der HERR donnern und regnen";"Donner, Regen";""
"Luc. 21. / 2. Petri 3.";"Lk 21,26; 2 Petr 3,10";"Himmel mit grossen Krachen zergehen werden";"Donner (Krachen)";""
"Sprüchen Salomo am 1.";"Spr 1,27";"Wenn über euch komt / wie ein Sturm";"Sturm, Wetter";""
"Deremia am 25.";"Jer 25,30-32";"Der HERR wird brüllen... ein grosz Wetter wird erweckt";"Wetter, Donner";""
"Joel im 2. Capitel";"Joel 2,11";"Der HERR wird seinen Donner fur Seinem Heer lassen hergehen";"Donner, Feuer";""
"5. B. Mose am 32.";"Dtn 32,41";"nennet auch Gott den Krieg den Blitz seines Schwerts";"Blitz (metaphorisch)";""
"Gesaia am 28.";"Jes 28,2";"wie ein Hagelsturm / wie ein schedlich Wetter";"Hagelsturm, Wassersturm";""
"Zephania am 2.";"Zeph 1,15";"am Tage des Wetters und Vngestüme";"Wetter, Ungestüm";"⚠️ Zitat steht in Zephanja 1,15, nicht Kapitel 2"
"Gesekiel am 13.";"Ez 13,11-13";"einen Windwirbel reissen lassen... grosse Hagelsteine";"Windwirbel, Platzregen, Hagel";""
"Josuæ am 10.";"Jos 10,11";"lies einen grossen Hagel vom Himmel auff sie fallen";"Hagel";""
"Psalm 32";"Ps 32,9";"seyd nicht wie Rosz vnd Mäuler";"";""
"Jesaia am 14.";"Jes 14,13-14";"Ich wil uber die hohen Wolcken fahren";"Wolken";""
"Gesaia am 24.";"Jes 24,16-18";"Die Fenster in der Höhe sind auffgethan";"Flut, Erdbeben";""
"11. Psalmo";"Ps 11,6";"Er wird regnen lassen über die Gottlosen Blitz / Fewer vnd Schwefel";"Blitz, Feuer, Schwefelregen";""
"Gesaia am 29.";"Jes 29,6";"heimgesucht werden mit Wetter / vnd Erdbeben / vnd grossem Donner";"Wetter, Donner, Windwirbel";""
"Marci 3.";"Mk 3,17";"Boanerges / das ist gesagt Donner Kinder";"Donner";""
"144. Psalm";"Ps 144,5-6";"Cas blitzen vnd zerstrewe sie";"Blitz";""
"Offenb. Johannio am 16.";"Offb 16,18";"Stimme / Donner / vnd Blitzen";"Donner, Blitz";""
"Gesaia am 30.";"Jes 30,30";"mit Flammen des verzehrenden Fewers / mit starcken Regen / vnd mit Hagel";"Feuer, Regen, Hagel";""
"B. der Weißheit am 4.";"Weish 4,20";"Sünden werden sie vnter Augen schelten";"";"⚠️ Bezug auf Endgericht am Ende von Kapitel 4"
